Individuals;Depth;Chr;Internal;External;Combined;Diverse
CA03_14;0.75;GGA1;0.7759974;0.910588;0.9396841;0.9562048
CA19_13;0.05;GGA1;0.472809;0.6336221;0.6557613;0.665499
CA19_18;2.83;GGA1;0.9127561;0.9475299;0.9635711;0.9708111
CA24_01;0.5;GGA1;0.8301074;0.9140843;0.9455232;0.9603922
CC19_18;1.25;GGA1;0.8746085;0.9412099;0.9631525;0.9727174
CA06_05;2.29;GGA1;0.8489586;0.9360351;0.9487253;0.9650613
CA13_03;0.969;GGA1;0.7999582;0.9159667;0.9459621;0.9615631
CA21_09;0.28;GGA1;0.7580807;0.869826;0.9183748;0.9334108
CB20_03;3.73;GGA1;0.9229679;0.957045;0.967478;0.9730347
CC09_13;1.64;GGA1;0.8947952;0.9394302;0.9621689;0.9704669
CC20_14;0.07;GGA1;0.4768202;0.6523544;0.684013;0.6895176
CB07_06;1.86;GGA1;0.838462;0.923888;0.9459159;0.9623883
CA03_14;0.75;GGA7;0.7458525;0.8845261;0.9220305;0.9392965
CA19_13;0.05;GGA7;0.450847;0.6434632;0.6625431;0.6555016
CA19_18;2.83;GGA7;0.9414186;0.9484191;0.9724241;0.9765971
CA24_01;0.5;GGA7;0.8638216;0.9045407;0.9496285;0.9653718
CC19_18;1.25;GGA7;0.8781065;0.9218728;0.9577731;0.9705108
CA06_05;2.29;GGA7;0.8666775;0.9396378;0.9590914;0.9710785
CA13_03;0.969;GGA7;0.8041923;0.9123557;0.9385876;0.9558111
CA21_09;0.28;GGA7;0.7171654;0.8582114;0.9003357;0.9165261
CB20_03;3.73;GGA7;0.9302937;0.9572085;0.970182;0.974523
CC09_13;1.64;GGA7;0.8782445;0.9435217;0.9670191;0.9741579
CC20_14;0.07;GGA7;0.4844148;0.6259639;0.6755795;0.6873163
CB07_06;1.86;GGA7;0.852847;0.9207811;0.9466476;0.9604133
CA03_14;0.75;GGA20;0.7286574;0.8737094;0.9122554;0.930566
CA19_13;0.05;GGA20;0.4130019;0.4766156;0.5713107;0.6007275
CA19_18;2.83;GGA20;0.9339185;0.9547659;0.9708149;0.9745472
CA24_01;0.5;GGA20;0.8719569;0.9047594;0.9574453;0.9632464
CC19_18;1.25;GGA20;0.8640264;0.9344152;0.9627635;0.9710752
CA06_05;2.29;GGA20;0.813375;0.9309423;0.947725;0.9630191
CA13_03;0.969;GGA20;0.7830577;0.9325594;0.9554213;0.9604438
CA21_09;0.28;GGA20;0.7900896;0.8637445;0.9285921;0.9378196
CB20_03;3.73;GGA20;0.920761;0.9593815;0.967266;0.9749172
CC09_13;1.64;GGA20;0.8831091;0.9516203;0.9684103;0.9738961
CC20_14;0.07;GGA20;0.4775592;0.6246699;0.644962;0.6224834
CB07_06;1.86;GGA20;0.8274625;0.9466132;0.9550032;0.9638051
