Sample;MAF;Internal;External;Combined;Diverse
CA03_14;0-0.05;0.30;0.90;0.90;0.94
CA19_13;0-0.05;0.01;0.38;0.40;0.36
CA19_18;0-0.05;0.47;0.91;0.90;0.94
CA24_01;0-0.05;0.28;0.86;0.87;0.91
CC19_18;0-0.05;0.43;0.91;0.91;0.95
CA06_05;0-0.05;0.45;0.92;0.92;0.95
CA13_03;0-0.05;0.33;0.90;0.90;0.94
CA21_09;0-0.05;0.16;0.77;0.78;0.85
CB20_03;0-0.05;0.61;0.94;0.94;0.95
CC09_13;0-0.05;0.40;0.90;0.90;0.93
CC20_14;0-0.05;0.05;0.51;0.52;0.56
CB07_06;0-0.05;0.44;0.91;0.92;0.94
CA03_14;0.05-0.1;0.52;0.88;0.93;0.94
CA19_13;0.05-0.1;0.08;0.52;0.52;0.56
CA19_18;0.05-0.1;0.72;0.93;0.95;0.95
CA24_01;0.05-0.1;0.50;0.87;0.92;0.93
CC19_18;0.05-0.1;0.64;0.91;0.95;0.96
CA06_05;0.05-0.1;0.68;0.92;0.94;0.95
CA13_03;0.05-0.1;0.55;0.90;0.94;0.95
CA21_09;0.05-0.1;0.37;0.83;0.89;0.90
CB20_03;0.05-0.1;0.78;0.95;0.96;0.96
CC09_13;0.05-0.1;0.66;0.93;0.96;0.96
CC20_14;0.05-0.1;0.14;0.59;0.62;0.62
CB07_06;0.05-0.1;0.65;0.91;0.94;0.96
CA03_14;0.1-0.3;0.82;0.91;0.94;0.95
CA19_13;0.1-0.3;0.45;0.62;0.65;0.65
CA19_18;0.1-0.3;0.92;0.94;0.96;0.97
CA24_01;0.1-0.3;0.84;0.91;0.94;0.96
CC19_18;0.1-0.3;0.89;0.94;0.96;0.97
CA06_05;0.1-0.3;0.88;0.94;0.95;0.96
CA13_03;0.1-0.3;0.83;0.91;0.95;0.96
CA21_09;0.1-0.3;0.78;0.86;0.91;0.93
CB20_03;0.1-0.3;0.93;0.96;0.97;0.97
CC09_13;0.1-0.3;0.90;0.93;0.96;0.97
CC20_14;0.1-0.3;0.48;0.64;0.68;0.68
CB07_06;0.1-0.3;0.87;0.92;0.95;0.96
CA03_14;>0.3;0.83;0.92;0.94;0.96
CA19_13;>0.3;0.53;0.65;0.67;0.68
CA19_18;>0.3;0.94;0.95;0.97;0.97
CA24_01;>0.3;0.87;0.92;0.95;0.96
CC19_18;>0.3;0.91;0.95;0.97;0.98
CA06_05;>0.3;0.89;0.94;0.95;0.97
CA13_03;>0.3;0.85;0.92;0.95;0.96
CA21_09;>0.3;0.80;0.88;0.93;0.94
CB20_03;>0.3;0.94;0.96;0.97;0.97
CC09_13;>0.3;0.92;0.94;0.97;0.97
CC20_14;>0.3;0.54;0.67;0.70;0.71
CB07_06;>0.3;0.88;0.93;0.95;0.96
