Breed;Individuals;Depth;HD;Internal;External;Combined;Diverse;HD.sd;Internal.sd;External.sd;Combined.sd;Diverse.sd
Cobb;CA03_14;0.75;0.3848669;0.3713461;0.3719027;0.371606;0.3563347;0.2275988;0.1987001;0.2035618;0.2010521;0.1891449
Ross;CA19_18;2.83;0.3798493;0.3888959;0.3796231;0.3738966;0.3556898;0.2335412;0.2104077;0.2081381;0.203861;0.1909637
Ross;CA24_01;0.5;0.3825074;0.3824177;0.3811715;0.3812579;0.3637447;0.2301536;0.2000362;0.2038739;0.2000988;0.1879764
Ross;CC19_18;1.25;0.3871701;0.3795055;0.3697238;0.3658563;0.3465047;0.2198256;0.2018735;0.2037813;0.2011139;0.1891306
Cobb;CA06_05;2.29;0.3902696;0.3760821;0.3654933;0.360697;0.3426773;0.2194832;0.200507;0.2003523;0.1975845;0.1865582
Cobb;CA13_03;0.969;0.3952304;0.3717511;0.3670766;0.3657516;0.3483711;0.2183746;0.1950614;0.1980642;0.1956741;0.1852286
Ross;CA21_09;0.28;0.3891154;0.3631388;0.3685518;0.3716864;0.3534312;0.2239675;0.1961117;0.2048442;0.2016199;0.1897294
Ross;CB20_03;3.73;0.3843412;0.3834413;0.3723619;0.3643802;0.3445077;0.2232805;0.2074506;0.2054621;0.2008823;0.1884825
Ross;CC09_13;1.64;0.3883829;0.3880531;0.3782628;0.3733194;0.3532279;0.2243466;0.2030262;0.203404;0.2007184;0.1887437
Cobb;CB07_06;1.86;0.3942552;0.3786644;0.364957;0.3621296;0.3440395;0.2213881;0.2015859;0.202172;0.1994635;0.1884504
